file	total_chunks	vi_chunks	vi_pct	total_lines
8.2 - linux-vlan-bonding-team.md	131	33	25.2	426
8.3 - tc-qdisc-and-conntrack.md	110	24	21.8	475
9.0 - ovs-history-2007-present.md	200	91	45.5	419
9.1 - ovs-3-component-architecture.md	239	179	74.9	901
9.10 - tls-pki-hardening.md	133	60	45.1	402
9.11 - ovs-appctl-reference-playbook.md	451	157	34.8	1651
9.12 - upgrade-and-rolling-restart.md	217	52	24.0	572
9.13 - libvirt-docker-integration.md	132	30	22.7	561
9.14 - incident-response-decision-tree.md	268	89	33.2	1510
9.15 - ofproto-classifier-tuple-space-search.md	130	81	62.3	407
9.16 - ovs-connection-manager-controller-failover.md	139	82	59.0	447
9.17 - ovs-performance-benchmark-methodology.md	262	146	55.7	761
9.18 - ovs-native-l3-routing.md	152	91	59.9	493
9.19 - ovs-flow-table-granularity.md	172	72	41.9	521
9.2 - ovs-kernel-datapath-megaflow.md	531	312	58.8	1829
9.20 - ovs-vlan-access-trunk.md	154	78	50.6	550
9.21 - mininet-for-ovs-labs.md	129	109	84.5	571
9.22 - ovs-multi-table-pipeline.md	278	174	62.6	1196
9.23 - ovs-stateless-acl-firewall.md	106	83	78.3	346
9.24 - ovs-conntrack-stateful-firewall.md	268	213	79.5	1007
9.25 - ovs-flow-debugging-ofproto-trace.md	247	174	70.4	1118
9.26 - ovs-revalidator-storm-forensic.md	358	155	43.3	1190
9.27 - ovs-ovn-packet-journey-end-to-end.md	186	78	41.9	696
9.28 - ovs-pcap-tcpundump-utility.md	69	39	56.5	270
9.29 - vtep-ctl-vtep-schema.md	118	51	43.2	347
9.3 - ovs-userspace-dpdk-afxdp.md	69	39	56.5	209
9.30 - ovs-pki-pki-helper.md	96	49	51.0	293
9.31 - ovsdb-tool-offline-utility.md	116	48	41.4	378
9.32 - ovs-classifier-internals-deep.md	205	65	31.7	646
9.4 - ovs-cli-tools-playbook.md	940	368	39.1	3952
9.5 - hw-offload-switchdev-asap2-doca.md	92	41	44.6	318
9.6 - bonding-and-lacp.md	134	63	47.0	473
9.7 - port-mirroring-and-packet-capture.md	125	59	47.2	435
9.8 - flow-monitoring-sflow-netflow-ipfix.md	138	41	29.7	433
9.9 - qos-policing-shaping-metering.md	242	159	65.7	848
README.md	325	87	26.8	558

# TOTAL files=136 chunks=29753 vi_chunks=14523 pct=48.8% lines=95110

# COHORT clean: 0 file(s)
# COHORT light: 2 file(s)
# COHORT medium: 31 file(s)
# COHORT heavy: 103 file(s)
